------------------zebra
------------------1
1:,11,5,1, 26545497
2:,6,5,2, 5763112
3:,6,5,3, 4083709
4:,6,5,4, 3774947
5:,6,5,5, 3329572
1:,11,10,1, 1442652
2:,11,10,2, 1881218
3:,4,10,3, 2186430
4:,4,10,4, 2171595
5:,4,10,5, 2185314
6:,4,10,6, 2026044
7:,4,10,7, 1921076
8:,4,10,8, 2095133
9:,4,10,9, 1823470
10:,4,10,10, 1876205
1:,13,20,1, 1671575
2:,13,20,2, 2966760
3:,4,20,3, 5787025
4:,4,20,4, 5813417
5:,4,20,5, 5924654
6:,4,20,6, 3921375
7:,4,20,7, 3927271
8:,4,20,8, 3694307
9:,4,20,9, 3948814
10:,4,20,10, 3523427
11:,4,20,11, 3605114
12:,4,20,12, 3311747
13:,4,20,13, 3305025
14:,4,20,14, 3711513
15:,4,20,15, 3760542
16:,4,20,16, 3654512
17:,4,20,17, 3922362
18:,4,20,18, 3584697
19:,4,20,19, 3629895
20:,4,20,20, 3675808
------------------dolphins
------------------1
1:,27,5,1, 60985777
2:,26,5,2, 27067513
3:,25,5,3, 26646785
4:,19,5,4, 21459542
5:,19,5,5, 17298865
1:,28,10,1, 10255873
2:,28,10,2, 11441627
3:,28,10,3, 18067330
4:,27,10,4, 29296997
5:,22,10,5, 42404541
6:,22,10,6, 42599746
7:,22,10,7, 38536195
8:,18,10,8, 27253704
9:,18,10,9, 28902419
10:,18,10,10, 26771009
1:,35,20,1, 3485263
2:,35,20,2, 5841749
3:,35,20,3, 30010631
4:,26,20,4, 166670628
5:,26,20,5, 691321135
6:,26,20,6, 2509290168
7:,26,20,7, 8662787913
8:,26,20,8, 24638461396
9:,26,20,9, 58845487291
10:,26,20,10, 119611292673
11:,16,20,11, 188577112534
12:,16,20,12, 187683767492
13:,16,20,13, 187345034358
14:,16,20,14, 187589752721
15:,16,20,15, 186874623291
16:,16,20,16, 188657013817
17:,16,20,17, 188999193180
18:,16,20,18, 187931812820
19:,16,20,19, 187041823008
20:,16,20,20, 188745354537
------------------zachary
------------------1
1:,11,5,1, 23855805
2:,4,5,2, 6213893
3:,4,5,3, 4946447
4:,4,5,4, 3883765
5:,4,5,5, 3543324
1:,11,10,1, 2145026
2:,11,10,2, 4660144
3:,4,10,3, 5354098
4:,4,10,4, 4300035
5:,4,10,5, 4030606
6:,4,10,6, 4068162
7:,4,10,7, 4211403
8:,4,10,8, 3832649
9:,4,10,9, 3741723
10:,4,10,10, 3934004
1:,17,20,1, 1859624
2:,17,20,2, 5060453
3:,4,20,3, 9805746
4:,4,20,4, 9467426
5:,4,20,5, 9526559
6:,4,20,6, 9583633
7:,4,20,7, 9508496
8:,4,20,8, 9455419
9:,4,20,9, 8308485
10:,4,20,10, 8088634
11:,4,20,11, 7550877
12:,4,20,12, 6809648
13:,4,20,13, 6607704
14:,4,20,14, 6858240
15:,4,20,15, 7024305
16:,4,20,16, 6819021
17:,4,20,17, 7053690
18:,4,20,18, 6766765
19:,4,20,19, 6395243
20:,4,20,20, 6427157
------------------david
------------------1
1:,39,5,1, 190144487
2:,37,5,2, 86746185
3:,37,5,3, 81604228
4:,33,5,4, 62417183
5:,33,5,5, 58318545
1:,39,10,1, 33114565
2:,37,10,2, 36641438
3:,37,10,3, 36317366
4:,37,10,4, 43063142
5:,37,10,5, 58262127
6:,37,10,6, 76618253
7:,32,10,7, 63197384
8:,31,10,8, 56131524
9:,31,10,9, 57102379
10:,31,10,10, 54246708
1:,42,20,1, 16840191
2:,39,20,2, 19304760
3:,39,20,3, 55027566
4:,39,20,4, 408237371
5:,39,20,5, 2237512021
6:,39,20,6, 11404051592
7:,39,20,7, 46619484006
8:,32,20,8, 98985832685
9:,32,20,9, 181616353877
10:,32,20,10, 354388007415
11:,32,20,11, 649728511406
12:,32,20,12, 1074152260394
13:,23,20,13, 1028538830431
14:,23,20,14, 1031981684176
15:,23,20,15, 1019049786625
16:,23,20,16, 1024322603981
17:,23,20,17, 1041381781594
18:,23,20,18, 1020057855446
19:,23,20,19, 1027729533649
20:,23,20,20, 1024277357042
------------------jazz
------------------1
1:,26,5,1, 361599330
2:,25,5,2, 166371549
3:,21,5,3, 139858206
4:,21,5,4, 140708538
5:,21,5,5, 137089673
1:,36,10,1, 101539631
2:,23,10,2, 148421823
3:,23,10,3, 107675479
4:,23,10,4, 112471141
5:,23,10,5, 115225512
6:,23,10,6, 113224489
7:,23,10,7, 115413941
8:,19,10,8, 154787533
9:,19,10,9, 159132471
10:,19,10,10, 141820613
1:,39,20,1, 53879832
2:,39,20,2, 57744419
3:,39,20,3, 134035733
4:,30,20,4, 752931738
5:,30,20,5, 1243295179
6:,30,20,6, 3281796410
7:,30,20,7, 9733939539
8:,30,20,8, 26420739540
9:,30,20,9, 62241429304
10:,18,20,10, 73285250472
11:,18,20,11, 72596743177
12:,18,20,12, 72959761910
13:,18,20,13, 72875831557
14:,18,20,14, 72677001184
15:,18,20,15, 72411093177
16:,18,20,16, 72820827347
17:,18,20,17, 72263497096
18:,18,20,18, 72752697164
19:,18,20,19, 71817766927
20:,18,20,20, 71944587841
------------------pdzbase
------------------1
1:,146,5,1, 298253200
2:,125,5,2, 314624230
3:,102,5,3, 310321647
4:,91,5,4, 308061987
5:,91,5,5, 307354479
1:,150,10,1, 151070579
2:,150,10,2, 157577382
3:,148,10,3, 160206627
4:,148,10,4, 183406186
5:,131,10,5, 204545678
6:,99,10,6, 204765514
7:,84,10,7, 205633309
8:,84,10,8, 199372607
9:,83,10,9, 235371945
10:,83,10,10, 200014139
1:,150,20,1, 82331933
2:,150,20,2, 90047577
3:,150,20,3, 147471993
4:,150,20,4, 501350810
5:,150,20,5, 2101308991
6:,150,20,6, 7794937808
7:,147,20,7, 23774237389
8:,147,20,8, 60111322354
9:,147,20,9, 128924756308
10:,141,20,10, 228424333816
11:,118,20,11, 315966307519
12:,105,20,12, 288177638076
13:,73,20,13, 52361201874
14:,73,20,14, 52539164940
15:,73,20,15, 52410298683
16:,73,20,16, 52639218626
17:,73,20,17, 52450819885
18:,73,20,18, 52199366627
19:,73,20,19, 52813639532
20:,73,20,20, 53036220440
------------------rovira
------------------1
------------------pdzbase
------------------1
1:,154,30,1, 224764314
2:,154,30,2, 140261684
3:,154,30,3, 298114367
4:,154,30,4, 2641006009
5:,154,30,5, 17519452538
6:,150,30,6, 107732437436
7:,150,30,7, 524921823411
------------------rovira
------------------1
1:,505,5,1, 69368969876
2:,478,5,2, 67505251632
3:,406,5,3, 69530250470
4:,370,5,4, 65797899684
5:,370,5,5, 65038686073
1:,509,10,1, 34645409557
2:,505,10,2, 36385381387
3:,496,10,3, 35632872686
4:,488,10,4, 35493701462
5:,473,10,5, 36146056550
6:,461,10,6, 35636545968
7:,386,10,7, 36427604869
8:,371,10,8, 36667542535
9:,358,10,9, 36761950773
10:,358,10,10, 36692476009
1:,516,20,1, 18660485357
2:,514,20,2, 18488346199
3:,514,20,3, 19185887685
4:,508,20,4, 20713361773
5:,504,20,5, 25795947203
6:,501,20,6, 45601739223
7:,490,20,7, 102069709771
8:,482,20,8, 231099907195
9:,482,20,9, 483812700820
10:,471,20,10, 844960762800
11:,455,20,11, 1328821300202
12:,435,20,12, 1705618802833
13:,435,20,13, 2236099727614
14:,413,20,14, 2432654711638
15:,368,20,15, 2271275958483
16:,366,20,16, 1557911851827
17:,353,20,17, 1526167679148
18:,351,20,18, 1524588117027
19:,346,20,19, 1365653936939
20:,346,20,20, 1366441493755
------------------euroroad
------------------1
1:,679,5,1, 80235122398
2:,605,5,2, 81101049628
3:,535,5,3, 78417263263
4:,523,5,4, 77749706854
5:,523,5,5, 79184194175
1:,715,10,1, 41327914199
2:,711,10,2, 40885750494
3:,697,10,3, 41330930791
4:,646,10,4, 40996971572
5:,567,10,5, 42176513931
6:,539,10,6, 43074740495
7:,525,10,7, 42339565732
8:,517,10,8, 43200392432
9:,510,10,9, 42872271780
10:,510,10,10, 42820507715
1:,729,20,1, 20907065094
2:,729,20,2, 21258174119
3:,727,20,3, 21537578961
4:,727,20,4, 23364518773
5:,721,20,5, 33808376166
6:,717,20,6, 73432889469
7:,700,20,7, 189862656479
8:,673,20,8, 497688297940
9:,603,20,9, 840280128028
10:,531,20,10, 1062811519639
11:,521,20,11, 1153501546336
12:,514,20,12, 1184763821401
13:,514,20,13, 1199045181642
14:,514,20,14, 1207795987253
15:,514,20,15, 1213003205888
16:,510,20,16, 1214561092175
17:,507,20,17, 1216807829018
18:,505,20,18, 1217561733624
19:,500,20,19, 1814755126210
20:,500,20,20, 1815450494564
------------------facebook
------------------1
1:,10,5,1, 77183272145
2:,10,5,2, 62886100184
3:,10,5,3, 71092944475
4:,10,5,4, 71094663475
5:,10,5,5, 63387550960
1:,10,10,1, 59892014727
2:,10,10,2, 61441525592
3:,10,10,3, 59846001926
4:,10,10,4, 57224360851
5:,10,10,5, 75837977291
6:,10,10,6, 59747892194
7:,10,10,7, 55165057924
8:,10,10,8, 57220292043
9:,10,10,9, 55592072031
10:,10,10,10, 51485706918
1:,10,20,1, 55734318100
2:,10,20,2, 49831470145
3:,10,20,3, 57692649903
4:,10,20,4, 47675677925
5:,10,20,5, 55824469768
6:,10,20,6, 52729717247
7:,10,20,7, 54951488405
8:,10,20,8, 52592025785
9:,10,20,9, 54829137039
10:,10,20,10, 52697143843
11:,10,20,11, 54616483460
12:,10,20,12, 52639470178
13:,10,20,13, 54842666918
14:,10,20,14, 52844030753
15:,10,20,15, 54818231372
16:,10,20,16, 52729444165
17:,10,20,17, 54736681164
18:,10,20,18, 52611998991
19:,10,20,19, 55321407663
20:,10,20,20, 52764789841
------------------vidal
------------------1
1:,2012,5,1, 2225220995546
2:,1966,5,2, 2270432675896
3:,1909,5,3, 2315691660311
------------------facebook
------------------1
------------------facebook
------------------1
1:,10,5,1, 77850709524
2:,10,5,2, 77470969037
------------------powergrid
------------------1
1:,2711,5,1, 12031256079750
2:,2492,5,2, 13030685425327
3:,2212,5,3, 13035141013613
4:,2077,5,4, 12415094335455
5:,2077,5,5, 13826966641579
1:,2817,10,1, 6206300439659
2:,2796,10,2, 6194044957828
3:,2719,10,3, 6197016869987
4:,2600,10,4, 6719985251663
5:,2397,10,5, 6793917434632
6:,2233,10,6, 6829560162354
7:,2127,10,7, 7276100761799
8:,2069,10,8, 7175245257471
9:,2014,10,9, 7443099724798
10:,2014,10,10, 7665860819344
1:,2854,20,1, 3393234282071
2:,2848,20,2, 3166760204585
3:,2829,20,3, 3303753547479
4:,2814,20,4, 3047329231014
5:,2798,20,5, 3148068782082
6:,2786,20,6, 3217726942749
7:,2695,20,7, 3654135626644
8:,2657,20,8, 4965171422601
9:,2525,20,9, 7437756925691
10:,2419,20,10, 11432958201430
11:,2305,20,11, 15610804233591
12:,2211,20,12, 17112158734923
13:,2146,20,13, 18300356595990
14:,2089,20,14, 17926468150831
15:,2075,20,15, 18303592198288
16:,2019,20,16, 18888761910955
17:,1984,20,17, 18411306664700
18:,1951,20,18, 18886951151911
19:,1938,20,19, 18123414487261
20:,1938,20,20, 18233486447796
------------------pdzbase
------------------1
