1--------frb30-15-mis/frb30-15-1.mis
22,5,1,165750592,35,5,1,93821153,
16,5,2,104294646,29,5,2,64347337,
16,5,3,101074892,26,5,3,61537257,
16,5,4,80895377,26,5,4,61718218,
16,5,5,64306521,26,5,5,62988389,
22,10,1,44931018,40,10,1,34664749,
23,10,2,112104587,32,10,2,34726652,
16,10,3,81952588,34,10,3,41607982,
16,10,4,76047169,28,10,4,43666610,
16,10,5,76400419,23,10,5,73805904,
16,10,6,67885353,23,10,6,71966070,
16,10,7,63014714,23,10,7,72375259,
16,10,8,63186665,23,10,8,76302726,
16,10,9,69424853,23,10,9,72254676,
16,10,10,66225486,23,10,10,71482432,
41,20,1,38303136,53,20,1,29839272,
24,20,2,39423991,42,20,2,30313538,
32,20,3,1094612255,42,20,3,36413733,
16,20,4,7334799241,42,20,4,54625141,
16,20,5,7075173424,20,20,5,9071598089,
16,20,6,7560929764,20,20,6,8510734779,
16,20,7,7062391953,20,20,7,8488076185,
16,20,8,6822306131,20,20,8,8682488677,
16,20,9,7075458105,20,20,9,8526403348,
16,20,10,6808384288,20,20,10,8532090569,
16,20,11,6890996113,20,20,11,8907401668,
16,20,12,6942826030,20,20,12,8575244330,
16,20,13,6873900188,20,20,13,8551896929,
16,20,14,6832294213,20,20,14,8670176183,
16,20,15,6927403003,20,20,15,8365120540,
16,20,16,6825685822,20,20,16,8396404971,
16,20,17,7031448951,20,20,17,8517893389,
16,20,18,7151548512,20,20,18,9299357234,
16,20,19,7453911166,20,20,19,8688488440,
16,20,20,7023550813,20,20,20,8503657223,
1--------frb30-15-mis/frb30-15-2.mis
26,5,1,41014236,18,5,1,34385627,
26,5,2,40736431,16,5,2,53522397,
24,5,3,46806027,16,5,3,52607025,
24,5,4,55328854,16,5,4,50917197,
24,5,5,51203081,16,5,5,50502608,
40,10,1,33789324,23,10,1,25293966,
32,10,2,68520059,22,10,2,26310907,
27,10,3,66276485,14,10,3,42847701,
24,10,4,48969074,14,10,4,43914374,
24,10,5,48126676,14,10,5,43293778,
22,10,6,67543284,14,10,6,43353529,
22,10,7,60006619,14,10,7,51963922,
22,10,8,60569681,14,10,8,45991571,
22,10,9,60866924,14,10,9,42541511,
22,10,10,65807995,14,10,10,42883196,
44,20,1,27652217,33,20,1,25524131,
42,20,2,30977270,33,20,2,25833419,
42,20,3,36106219,30,20,3,458481958,
27,20,4,54978897,16,20,4,3608335386,
27,20,5,80962117,16,20,5,3668094546,
27,20,6,115956275,16,20,6,4172373604,
22,20,7,2814591638,16,20,7,3679167313,
22,20,8,2920102111,16,20,8,3612784540,
22,20,9,2870605630,16,20,9,3564830181,
22,20,10,2856073748,16,20,10,3578434280,
22,20,11,2875279289,16,20,11,3567515920,
22,20,12,2806051953,16,20,12,3517217131,
22,20,13,3013700071,16,20,13,3588320160,
22,20,14,2796518047,16,20,14,3627332519,
22,20,15,2932439505,16,20,15,3535033673,
22,20,16,2893565889,16,20,16,3519447012,
22,20,17,2849009154,16,20,17,3583940090,
22,20,18,2939952248,16,20,18,3646209281,
22,20,19,2918046313,16,20,19,3545445109,
22,20,20,2837874219,16,20,20,3526878446,
1--------frb30-15-mis/frb30-15-3.mis
18,5,1,31920882,30,5,1,69201755,
17,5,2,42561179,30,5,2,65985728,
16,5,3,43523615,28,5,3,69839436,
16,5,4,42471821,27,5,4,82749186,
16,5,5,42288715,27,5,5,69361747,
27,10,1,26347711,40,10,1,41152590,
24,10,2,35145751,40,10,2,42179433,
15,10,3,45463329,36,10,3,61032407,
15,10,4,44110040,27,10,4,147961338,
15,10,5,44147839,23,10,5,275476376,
15,10,6,43050361,23,10,6,252369911,
15,10,7,44406868,23,10,7,233297301,
15,10,8,43593921,23,10,8,129527659,
15,10,9,44455565,23,10,9,129661501,
15,10,10,44634579,23,10,10,134151991,
34,20,1,25781020,46,20,1,28447219,
22,20,2,26410512,42,20,2,29496771,
29,20,3,469712005,42,20,3,38113136,
15,20,4,2463386824,42,20,4,82700243,
15,20,5,2236597779,29,20,5,143096589,
15,20,6,3062218524,29,20,6,3106661595,
15,20,7,2227527103,20,20,7,11885063281,
15,20,8,2252015254,20,20,8,10939530202,
15,20,9,2312976518,20,20,9,11760921922,
15,20,10,2356807834,20,20,10,10861911547,
15,20,11,2380782222,20,20,11,11901312497,
15,20,12,2376941883,20,20,12,10531617080,
15,20,13,2197473405,20,20,13,10812514959,
15,20,14,2388496639,20,20,14,10878398105,
15,20,15,2328617584,20,20,15,10757269907,
15,20,16,2307759029,20,20,16,11261974418,
15,20,17,2244380165,20,20,17,11209105859,
15,20,18,2332578347,20,20,18,11611053156,
15,20,19,2342770642,20,20,19,11071662835,
15,20,20,2340540575,20,20,20,12101060367,
1--------frb30-15-mis/frb30-15-4.mis
19,5,1,37090845,30,5,1,44036126,
17,5,2,51506711,29,5,2,61187859,
17,5,3,47255112,25,5,3,64584243,
17,5,4,46087047,24,5,4,69648602,
17,5,5,46798700,24,5,5,62746459,
28,10,1,27360360,40,10,1,33648168,
18,10,2,41463976,32,10,2,33412914,
16,10,3,53851962,27,10,3,48295319,
16,10,4,66805924,27,10,4,108602659,
16,10,5,60727603,24,10,5,109504695,
16,10,6,53472775,24,10,6,110403181,
16,10,7,53424916,24,10,7,115824320,
16,10,8,54146774,24,10,8,110228883,
16,10,9,56417407,24,10,9,109401293,
16,10,10,53427040,24,10,10,109333580,
31,20,1,26670184,60,20,1,31248355,
24,20,2,36729565,60,20,2,33172250,
14,20,3,289275195,43,20,3,35396656,
14,20,4,285072513,30,20,4,2099367943,
14,20,5,399079809,23,20,5,11948316376,
14,20,6,286447397,23,20,6,11126814540,
14,20,7,283433559,23,20,7,12346055267,
14,20,8,287705633,23,20,8,11171004563,
14,20,9,285841934,23,20,9,11928385641,
14,20,10,311487551,23,20,10,12394374562,
14,20,11,281511872,23,20,11,11753760515,
14,20,12,284948343,23,20,12,11975562688,
14,20,13,282877484,23,20,13,11443695051,
14,20,14,336871170,23,20,14,12411435736,
14,20,15,415586466,23,20,15,11484167897,
14,20,16,294269818,23,20,16,12635815624,
14,20,17,284623375,23,20,17,11677068514,
14,20,18,287305145,23,20,18,11524799715,
14,20,19,285496199,23,20,19,12240873195,
14,20,20,280893530,23,20,20,11843429367,
1--------frb30-15-mis/frb30-15-5.mis
18,5,1,39201460,31,5,1,46796489,
15,5,2,50129389,24,5,2,59002532,
15,5,3,49309670,23,5,3,63833115,
15,5,4,49012788,24,5,4,65558615,
15,5,5,49664893,24,5,5,61704259,
22,10,1,57057185,38,10,1,33086157,
24,10,2,58957562,38,10,2,32795530,
19,10,3,85009097,33,10,3,35990688,
15,10,4,85324423,33,10,4,34138913,
15,10,5,78685268,23,10,5,70826941,
15,10,6,80138279,23,10,6,75729495,
15,10,7,79756670,23,10,7,70572458,
15,10,8,83794288,23,10,8,70280727,
15,10,9,80349510,23,10,9,93935370,
15,10,10,81203124,23,10,10,70597427,
40,20,1,26185298,48,20,1,31306029,
24,20,2,39197574,42,20,2,31004441,
29,20,3,644119248,42,20,3,34521653,
15,20,4,8274176970,42,20,4,48856540,
15,20,5,8519973196,28,20,5,1449631772,
15,20,6,9666495272,28,20,6,6124033555,
15,20,7,8668038600,28,20,7,25385067375,
15,20,8,8533225480,21,20,8,60610134463,
15,20,9,8288421632,21,20,9,60042759672,
15,20,10,9572635440,21,20,10,58674065779,
15,20,11,8611155870,21,20,11,59119926724,
15,20,12,8296953673,21,20,12,58724070952,
15,20,13,8576640801,21,20,13,58620975697,
15,20,14,8406113458,21,20,14,58833143780,
15,20,15,10378185458,21,20,15,58770662512,
15,20,16,8172706286,21,20,16,59782449317,
15,20,17,8692726991,21,20,17,61989214215,
15,20,18,8206190876,21,20,18,60152880011,
15,20,19,9400453078,21,20,19,63535950162,
15,20,20,10032821561,21,20,20,65479164122,
1--------frb35-17-mis/frb35-17-1.mis
25,5,1,72090704,35,5,1,86039309,
23,5,2,80772889,30,5,2,96921587,
20,5,3,94626131,29,5,3,90863348,
20,5,4,82251451,27,5,4,92608395,
20,5,5,71701063,27,5,5,91209041,
32,10,1,50718540,42,10,1,83010210,
28,10,2,75485871,42,10,2,82951402,
18,10,3,88479662,38,10,3,98733869,
18,10,4,141005588,32,10,4,121708458,
18,10,5,100800074,29,10,5,309826166,
18,10,6,83218452,29,10,6,377980118,
18,10,7,227564231,29,10,7,255482180,
18,10,8,150064586,29,10,8,264410700,
18,10,9,142304066,29,10,9,261215153,
18,10,10,145948749,29,10,10,239635272,
41,20,1,46000312,49,20,1,52980250,
41,20,2,44737276,49,20,2,53487052,
30,20,3,248493429,43,20,3,63927951,
33,20,4,9544165259,31,20,4,1464717686,
19,20,5,14524658747,31,20,5,14369145288,
19,20,6,15293415138,29,20,6,157270219660,
19,20,7,13455664114,29,20,7,155735603163,
