frb30-15-mis/frb30-15-1.mis-i=1
8,0:,12,10,10, 38819264525
frb30-15-mis/frb30-15-2.mis-i=1
8,0:,12,10,10, 63566510844
frb30-15-mis/frb30-15-3.mis-i=1
8,0:,12,10,10, 34655718586
frb30-15-mis/frb30-15-4.mis-i=1
8,0:,12,10,10, 45035101973
frb30-15-mis/frb30-15-5.mis-i=1
8,0:,12,10,10, 43920318525
frb35-17-mis/frb35-17-1.mis-i=1
8,0:,14,10,10, 5855838227016
frb35-17-mis/frb35-17-2.mis-i=1
8,0:,14,10,10, 76083171042591
frb35-17-mis/frb35-17-3.mis-i=1
