10 times 
000027_zebra.konet,4,663100,5,963441,5,600914,5,433798,4,320703,5,469605,5,366930,5,367816,5,332542,5,337352,
000034_zachary.konet,4,354395,5,425944,4,267910,5,343310,6,395987,4,365282,6,408370,5,339735,5,333717,5,324543,
000062_dolphins.konet,19,2060406,19,2089077,17,3587372,17,1991322,19,1417168,16,1255223,18,1394618,17,1286449,19,1408202,19,1413137,
000112_David_Copperfield.konet,26,5124910,23,4569774,26,5048373,23,4516541,24,6395838,25,5088586,26,5057279,26,4995486,25,7049303,25,4956541,
000198_Jazz_musicians.konet,23,26443825,23,28305712,23,30295176,25,29352515,24,28505218,20,24666105,23,28277480,22,25746716,21,24776849,22,26753131,
000212_pdzbase.konet,60,9523901,59,9501064,60,25189834,58,9845489,58,9209127,57,9469247,61,9618566,60,9679047,61,11928773,60,14299140,
001133_rovira.konet,297,1081500878,287,990992283,289,1032475424,294,991965470,293,1034350284,293,973261113,293,1073654139,296,1093577735,295,1039850643,290,962811147,
001174_euroroad.konet,506,632702450,505,639031017,509,652527852,512,646462231,508,638351311,509,630935682,506,650627517,512,660910895,507,713880456,505,635317166,
001858_hamster.konet,315,2653584424,318,3241603274,315,3429151871,316,4300820642,319,4445761865,323,4528834827,308,4291299094,323,4536094300,319,2619458686,321,2635717784,
100 times 
000027_zebra.konet,4,169893,4,171706,4,173702,4,184383,4,188664,4,174017,4,193347,4,169000,4,174451,4,172805,
000034_zachary.konet,4,157141,4,161404,4,226786,4,166562,4,171263,4,233825,4,166994,4,165906,4,162549,4,161066,
000062_dolphins.konet,17,1235338,17,1236984,16,1194490,17,1998341,16,1183538,17,1239113,17,1298031,15,1091405,16,1175692,15,1111220,
000112_David_Copperfield.konet,24,4544001,23,4395550,23,4436626,23,4339659,23,4383440,23,4421425,24,4534417,22,5014346,22,4199357,22,4104990,
000198_Jazz_musicians.konet,20,24728016,20,24476631,19,21871094,18,21934800,18,20721307,19,22200520,18,19952141,21,23349418,18,19976184,20,24220507,
000212_pdzbase.konet,58,10115692,56,8488008,58,8744505,57,8988913,56,9706718,57,9004828,57,11464579,55,9529629,57,9005418,56,8906267,
001133_rovira.konet,283,914632024,284,922392538,286,923462459,286,923893100,283,918540015,284,913987023,286,902694819,290,945304970,280,920022739,277,889160662,
001174_euroroad.konet,497,612989928,504,638714812,503,632661006,502,621329344,500,619286798,494,607793317,501,613659907,504,613558198,496,604655306,496,605426332,
001858_hamster.konet,312,2311878609,313,2279314779,310,2266608413,313,2291329580,317,2310224526,317,2361934125,314,2303520742,310,2274338270,315,2296275278,308,2264241122,
