1000 times 
C1000.9.clq,3,135082614,2,126131521,
C125.9.clq,2,757273,2,792563,
C2000.5.clq,9,316677608,8,316109926,
C2000.9.clq,3,588601999,3,515716288,
C250.9.clq,2,3564610,2,3402623,
C4000.5.clq,9,1029319584,9,1442416743,
C500.9.clq,2,25437305,2,25402979,
DSJC1000.5.clq,7,65468390,8,67357595,
DSJC500.5.clq,7,13552390,6,13848012,
MANN_a27.clq,2,12636097,2,12719475,
MANN_a81.clq,2,1195908126,2,1723982095,
brock200_2.clq,5,1499498,5,1503564,
brock200_4.clq,3,1733731,4,1765899,
brock400_2.clq,3,12297986,3,12723761,
brock400_4.clq,3,12120992,3,12533576,
brock800_2.clq,5,52626500,5,53565722,
brock800_4.clq,5,56771674,5,54183167,
gen200_p0.9_44.clq,2,1880857,2,1868376,
gen200_p0.9_55.clq,2,1869115,2,2804537,
gen400_p0.9_55.clq,2,13958989,2,14236675,
gen400_p0.9_65.clq,2,14227725,2,13841358,
gen400_p0.9_75.clq,2,9339652,2,14283962,
hamming10-4.clq,8,133702497,8,165966393,
hamming8-4.clq,8,3893258,8,3865454,
keller4.clq,4,1110089,4,1104348,
keller5.clq,4,55962558,4,54769250,
keller6.clq,4,958179675,4,1089332912,
p_hat1500-1.clq,27,85244436,28,84933351,
p_hat1500-2.clq,15,173777235,14,166497254,
p_hat1500-3.clq,5,263827122,4,232050333,
p_hat300-1.clq,16,1795596,16,1795230,
p_hat300-2.clq,8,3093889,7,3108551,
p_hat300-3.clq,3,4987510,3,4906414,
p_hat700-1.clq,20,14722230,22,15398404,
p_hat700-2.clq,12,30473771,12,30380482,
p_hat700-3.clq,4,33990266,3,45388108,
