1--------000027_zebra.konet
8,5,1,13687521,11,5,1,1305606,
5,5,2,5719050,5,5,2,1013370,
5,5,3,3340586,5,5,3,896259,
5,5,4,2577346,5,5,4,893987,
5,5,5,2098720,5,5,5,832932,
9,10,1,2635632,11,10,1,613590,
9,10,2,4946101,11,10,2,1611712,
5,10,3,4527327,11,10,3,940583,
5,10,4,2749641,5,10,4,1154057,
5,10,5,2329923,5,10,5,1282319,
5,10,6,2860973,5,10,6,1401750,
5,10,7,2624881,5,10,7,1698796,
5,10,8,2155594,5,10,8,1774086,
5,10,9,2714815,5,10,9,1312879,
5,10,10,2752524,5,10,10,1357928,
20,20,1,1326096,20,20,1,1374951,
20,20,2,3020485,20,20,2,2306442,
4,20,3,6800870,4,20,3,3889861,
4,20,4,6815100,4,20,4,3334448,
4,20,5,5305275,4,20,5,3979590,
4,20,6,5955881,4,20,6,3131384,
4,20,7,4258961,4,20,7,3576988,
4,20,8,4886824,4,20,8,3472165,
4,20,9,4246762,4,20,9,3159713,
4,20,10,5523234,4,20,10,3340915,
4,20,11,4641451,4,20,11,3199131,
4,20,12,5809144,4,20,12,3928251,
4,20,13,4575073,4,20,13,3185038,
4,20,14,5153049,4,20,14,2977682,
4,20,15,4687307,4,20,15,3094894,
4,20,16,4477631,4,20,16,3215285,
4,20,17,4783651,4,20,17,2893620,
4,20,18,4539841,4,20,18,3399842,
4,20,19,6194573,4,20,19,3383605,
4,20,20,5502530,4,20,20,3083868,
1--------000034_zachary.konet
4,5,1,911313,4,5,1,598530,
4,5,2,745468,4,5,2,489416,
4,5,3,857072,4,5,3,481590,
4,5,4,779511,4,5,4,469851,
4,5,5,744499,4,5,5,814890,
4,10,1,687272,4,10,1,635849,
4,10,2,664064,4,10,2,517854,
4,10,3,661311,4,10,3,490298,
4,10,4,637812,4,10,4,735498,
4,10,5,551688,4,10,5,476841,
4,10,6,478414,4,10,6,503810,
4,10,7,750795,4,10,7,476739,
4,10,8,491448,4,10,8,439609,
4,10,9,727331,4,10,9,487424,
4,10,10,618729,4,10,10,445841,
4,20,1,514234,4,20,1,448251,
4,20,2,513430,4,20,2,512838,
4,20,3,745495,4,20,3,478902,
4,20,4,612785,4,20,4,446697,
4,20,5,476963,4,20,5,459493,
4,20,6,932580,4,20,6,465492,
4,20,7,609859,4,20,7,445798,
4,20,8,512808,4,20,8,442305,
4,20,9,471770,4,20,9,507532,
4,20,10,497175,4,20,10,546254,
4,20,11,475315,4,20,11,585863,
4,20,12,466548,4,20,12,926161,
4,20,13,482048,4,20,13,797619,
4,20,14,527326,4,20,14,590330,
4,20,15,519264,4,20,15,478082,
4,20,16,601794,4,20,16,454075,
4,20,17,507821,4,20,17,525749,
4,20,18,505771,4,20,18,433030,
4,20,19,476645,4,20,19,536769,
4,20,20,472701,4,20,20,455283,
1--------000062_dolphins.konet
20,5,1,958603,17,5,1,2167191,
20,5,2,1005485,17,5,2,1796798,
16,5,3,1364136,17,5,3,2085290,
16,5,4,1254440,16,5,4,2108230,
16,5,5,1612291,16,5,5,2272624,
20,10,1,810313,21,10,1,2106991,
20,10,2,813922,21,10,2,2480758,
20,10,3,2555611,16,10,3,5890401,
20,10,4,7129226,16,10,4,9933475,
20,10,5,28960005,16,10,5,6928173,
20,10,6,43813231,16,10,6,9461592,
17,10,7,48915557,16,10,7,4109370,
17,10,8,47051590,16,10,8,4026565,
17,10,9,45731328,16,10,9,3968184,
17,10,10,45406702,16,10,10,4796168,
25,20,1,708273,25,20,1,1061547,
25,20,2,1890705,25,20,2,2365439,
25,20,3,17188664,25,20,3,19170001,
25,20,4,291338548,25,20,4,164608560,
15,20,5,256426403,15,20,5,237976903,
15,20,6,257806121,15,20,6,314384684,
15,20,7,288445325,15,20,7,234645956,
15,20,8,255652744,15,20,8,237049574,
15,20,9,239531664,15,20,9,236602033,
15,20,10,299900308,15,20,10,232289194,
15,20,11,243092425,15,20,11,234153456,
15,20,12,240344667,15,20,12,282405811,
15,20,13,237147789,15,20,13,231874223,
15,20,14,235843605,15,20,14,235600008,
15,20,15,259768121,15,20,15,232892910,
15,20,16,440237953,15,20,16,232243213,
15,20,17,253665111,15,20,17,233213055,
15,20,18,236777862,15,20,18,246180157,
15,20,19,247522679,15,20,19,272165561,
15,20,20,233390694,15,20,20,278958394,
1--------000112_David_Copperfield.konet
22,5,1,5069694,22,5,1,3569325,
22,5,2,5071431,22,5,2,3650068,
21,5,3,3943951,21,5,3,4046397,
21,5,4,2977103,21,5,4,4013890,
21,5,5,2785380,21,5,5,2951730,
22,10,1,1509490,22,10,1,1749390,
22,10,2,1885392,22,10,2,2998005,
22,10,3,4926756,22,10,3,10022093,
22,10,4,18971274,22,10,4,43962293,
18,10,5,64120392,18,10,5,122470086,
18,10,6,66230441,18,10,6,105400795,
18,10,7,60792989,18,10,7,60484522,
18,10,8,60813012,18,10,8,62420958,
18,10,9,94109220,18,10,9,61705123,
18,10,10,60466086,18,10,10,65678936,
22,20,1,1495085,22,20,1,1541130,
22,20,2,1891480,22,20,2,2041748,
22,20,3,4724637,22,20,3,4846214,
22,20,4,19117816,22,20,4,20027258,
18,20,5,60584360,18,20,5,61584169,
18,20,6,59554836,18,20,6,62370555,
18,20,7,60423191,18,20,7,61391474,
18,20,8,60264727,18,20,8,61228905,
18,20,9,61092332,18,20,9,60861133,
18,20,10,67658930,18,20,10,63213480,
18,20,11,59675023,18,20,11,114615971,
18,20,12,59655290,18,20,12,80503191,
18,20,13,60457871,18,20,13,60317572,
18,20,14,59812396,18,20,14,60036727,
18,20,15,60826763,18,20,15,60510110,
18,20,16,62153793,18,20,16,60765027,
18,20,17,60905342,18,20,17,61625144,
18,20,18,96328183,18,20,18,60699062,
18,20,19,106931565,18,20,19,60302761,
18,20,20,103768910,18,20,20,61332084,
1--------000198_Jazz_musicians.konet
23,5,1,21938750,29,5,1,22404611,
21,5,2,21727134,21,5,2,15862317,
18,5,3,21394195,21,5,3,17739854,
18,5,4,21126334,21,5,4,16944902,
18,5,5,21500596,21,5,5,16160747,
33,10,1,14057003,29,10,1,13479901,
26,10,2,20658415,23,10,2,13551764,
25,10,3,25271685,23,10,3,15268208,
25,10,4,25817359,23,10,4,20287469,
25,10,5,36014236,23,10,5,38541058,
21,10,6,46679519,23,10,6,62033043,
21,10,7,48031190,19,10,7,113931787,
21,10,8,46265550,19,10,8,99226297,
21,10,9,48850647,19,10,9,99134136,
21,10,10,45900529,19,10,10,99937574,
35,20,1,10863607,29,20,1,9827169,
35,20,2,19214294,29,20,2,13037560,
27,20,3,121176355,29,20,3,75244934,
27,20,4,292692476,29,20,4,888158064,
27,20,5,1744612222,29,20,5,7841719752,
27,20,6,7214406875,29,20,6,60386473376,
27,20,7,28978265371,29,20,7,362203338531,
19,20,8,77343423771,29,20,8,1900902149872,
19,20,9,78215731127,20,20,9,2924783419365,
19,20,10,77774229330,20,20,10,2583713405985,
19,20,11,76978542631,20,20,11,2456726411759,
19,20,12,80185793922,20,20,12,2435210533159,
19,20,13,80082297652,20,20,13,2433326842880,
19,20,14,81754597450,20,20,14,2499580984706,
19,20,15,82302428087,20,20,15,2444837882209,
19,20,16,83897971661,20,20,16,2438122980754,
19,20,17,83773812333,20,20,17,2442709586347,
