1000 times 
000027_zebra.konet,4,296620,4,167944,4,172807,
000034_zachary.konet,4,255495,4,161846,4,167288,
000062_dolphins.konet,15,1111742,16,1170662,15,1123035,
000112_David_Copperfield.konet,21,4124823,21,4021488,21,4028707,
000198_Jazz_musicians.konet,18,21360821,17,20764281,19,22225717,
000212_pdzbase.konet,56,8789496,55,13105869,56,9442061,
001133_rovira.konet,277,911296906,274,898329379,279,835595855,
001174_euroroad.konet,493,607811297,498,617589704,495,609364002,
001858_hamster.konet,305,2534712813,307,3001368290,307,2622199620,
