10 times 
10 times 
C1000.9.clq,3,133252038,3,150350247,3,155312130,3,147116026,3,146933140,3,145849584,3,125655086,3,147832039,3,146285732,3,145356146,
C125.9.clq,2,943906,2,948810,2,918431,2,994406,2,913888,2,915022,2,913230,2,919151,2,890949,2,942266,
C2000.5.clq,9,365070914,9,359005140,10,363777014,9,256504041,9,275986610,10,364954959,9,423253586,9,362361011,10,357727001,9,361188488,
C2000.9.clq,3,655507596,3,642356122,3,585252968,3,591195920,3,825903971,3,636789860,3,525082562,3,563590783,3,612288126,4,693130474,
C250.9.clq,2,6814482,2,6718291,3,6887124,3,9392707,2,6959790,2,6821788,3,8474569,2,6586115,3,6781985,2,6818037,
C4000.5.clq,10,1260162163,10,1770819499,11,1166812284,11,1233328564,10,1147736423,11,1243323638,10,1688519322,10,1699302050,10,1068165092,10,1175124827,
C500.9.clq,3,31464055,3,31853985,2,32179249,3,31990016,3,33765105,3,32525472,2,32125572,3,32045049,3,33124063,3,32610290,
DSJC1000.5.clq,9,78984173,9,80203535,9,79677990,9,99571908,9,80969845,8,80182940,10,81068870,8,79718545,8,84356418,9,75925629,
DSJC500.5.clq,8,18504469,8,18930896,7,17892575,8,19321083,7,18333690,7,18197124,8,19263510,7,18113180,8,18083263,8,18042859,
MANN_a27.clq,2,12771371,2,16893982,2,17149160,2,19108521,2,28083191,2,16616130,2,17031279,3,17461013,2,20053406,2,19864927,
MANN_a81.clq,2,2406995859,2,2086078971,2,2203511709,2,2093059371,2,1408893403,2,2166690107,2,2159062448,2,2290045365,2,2309798568,2,1980261266,
brock200_2.clq,7,2314255,7,2123538,6,3039367,6,2058318,7,2168829,7,3058784,6,2057564,6,2068638,7,2024815,6,2275843,
brock200_4.clq,4,2631688,4,4003080,4,2559985,4,3052892,4,3226315,5,3153014,5,2953754,4,4424379,5,4738779,4,4312477,
brock400_2.clq,4,18310570,4,19789290,4,16292527,4,18595379,4,34470041,4,17524316,4,30354995,4,16879947,4,17438473,4,18500066,
brock400_4.clq,4,16693321,4,16254974,4,16772640,4,16272693,4,17292060,4,17487575,4,31048679,4,16162574,4,13855848,4,17282096,
brock800_2.clq,6,72005291,6,69010920,6,64588000,6,64506818,6,93015001,6,66842797,6,63651834,6,78645237,6,67463801,5,64470065,
brock800_4.clq,6,68819403,6,113533554,6,66598743,6,72105482,6,86572474,6,48608221,5,69923932,6,66415151,6,65084866,5,64008160,
gen200_p0.9_44.clq,3,3937541,2,4207069,2,5292811,2,4139821,3,3982097,2,3717419,2,4028386,2,7490560,2,4336753,3,4134736,
gen200_p0.9_55.clq,2,3994082,2,6096599,2,3895013,2,3455391,2,4316663,3,4104000,2,4339400,2,3484221,2,6581131,2,6843580,
gen400_p0.9_55.clq,2,22079249,3,20487886,2,33245612,3,19789830,3,14807098,3,19608514,3,18270749,3,17743562,3,20136170,3,19110785,
gen400_p0.9_65.clq,3,18782460,3,21780251,3,19679870,3,19297633,3,18677101,2,18109667,2,20266941,3,18186864,3,21257297,2,19109859,
gen400_p0.9_75.clq,3,21135538,3,28823471,2,18796789,3,19353678,3,20235988,3,19041677,2,17754505,2,20788636,3,18745752,2,18115698,
hamming10-4.clq,8,178971272,8,109987460,8,147962464,8,192110938,14,217360677,20,196372813,8,194260156,8,193270418,8,192509162,14,175753323,
hamming8-4.clq,8,7603959,8,7546717,8,9086097,8,10148918,8,8082271,8,8074244,8,8706621,8,8263202,12,7886914,8,8411973,
keller4.clq,4,1623756,8,1493823,5,1492621,6,2457021,6,3356257,6,3002923,6,1418792,6,2646396,6,3381936,8,2364197,
keller5.clq,12,72804470,16,73109915,8,66344343,10,120548212,14,71328589,12,69054078,4,71018354,12,69269021,12,70619649,10,87927095,
keller6.clq,48,2073358432,48,2132558217,31,1365819831,26,2630618810,30,1530712101,20,1427779977,30,1939000134,20,1192457210,30,3028447391,12,1246913332,
p_hat1500-1.clq,34,109897103,35,105195274,34,107562540,34,107001397,31,101482858,33,108079555,35,101622666,35,102576560,30,119494505,31,102241092,
p_hat1500-2.clq,17,224644840,23,220591073,23,202390059,25,150659354,21,216819300,20,206088290,23,159151240,20,206565275,23,199829930,17,208035227,
p_hat1500-3.clq,6,301085449,6,291525881,6,204066578,6,298070733,5,319130468,6,295562233,5,296173403,5,298140844,6,302893833,5,310541742,
p_hat300-1.clq,21,2877282,17,3247326,19,2990236,19,3254621,18,4289257,19,2741379,16,2792793,21,2581231,21,2743607,17,3352208,
p_hat300-2.clq,11,5915512,9,6443690,10,6076650,11,5953458,13,6341754,11,6140260,10,6137129,12,5858782,11,5995097,12,6122100,
p_hat300-3.clq,4,9037929,4,9146255,5,9176748,4,9043512,4,9319880,4,9041413,4,8843695,4,8814862,4,8816101,4,8871621,
p_hat700-1.clq,26,20190104,24,20699461,29,19903730,28,20375052,27,20002278,30,21932148,27,22973025,26,20628581,27,19730911,29,20072435,
p_hat700-2.clq,19,38031053,17,43282971,12,37589405,23,38393488,17,38325847,15,38292128,16,36942833,19,36635350,17,38732611,16,37165811,
p_hat700-3.clq,4,54902020,5,55670099,5,53960049,5,56715833,5,55399183,5,56169966,5,54095693,5,54336063,4,55791210,4,56387689,
100 times 
C1000.9.clq,3,162516723,3,253337654,3,154248008,3,148237390,3,158650977,3,159439045,3,163501742,3,153741371,3,146342737,3,146388364,
C125.9.clq,2,933054,2,1184503,2,936724,2,1147800,2,1399248,2,1555442,2,947360,2,1219314,2,955007,2,1451230,
C2000.5.clq,9,380288594,9,428385113,10,390701101,9,418615551,9,250432697,9,397737734,9,386739265,9,475586899,9,477669388,10,389156660,
C2000.9.clq,3,700680089,3,690649580,3,678622895,4,697012664,3,741301060,3,914900024,3,947952381,4,621122347,4,677576891,3,942454111,
C250.9.clq,2,6742745,3,6787570,3,6740455,3,6977486,3,6959233,2,6766495,2,6779349,2,6679651,2,6782975,2,7685166,
C4000.5.clq,10,1169017858,10,1625126360,10,1181337217,10,1051533955,10,5740046795,11,1226825510,10,1679925009,11,1624344253,10,1652044649,11,1134314771,
C500.9.clq,3,31598829,3,32330219,3,33650688,3,32828345,3,39006214,3,23355420,3,31422298,3,31947822,3,33165870,3,32808559,
DSJC1000.5.clq,8,80680820,8,81118973,9,101997478,8,81722285,9,105485221,8,83742318,9,82836321,8,80932541,8,119402553,9,81600285,
DSJC500.5.clq,7,18769439,8,20111211,7,18164633,7,18403179,8,20103606,7,18230229,7,19028844,8,23399381,7,18496595,7,18613391,
MANN_a27.clq,2,17315193,2,17674348,2,16963476,2,18272778,2,17167235,2,16905785,2,17558354,2,17347922,2,17457683,2,18310256,
MANN_a81.clq,2,2247197324,2,2076860057,2,1460017861,2,2265958742,2,1568433791,2,2379458705,2,1954422915,2,2356783594,2,2067578761,2,1978615869,
brock200_2.clq,6,3212767,6,4516903,6,2382534,6,3162871,6,3667937,6,2039690,6,2689560,6,2406290,7,3526940,6,2491559,
brock200_4.clq,5,2911639,5,2624264,5,3681600,4,3050068,4,2626031,4,3433418,4,2593541,4,2615382,4,2646421,4,3760687,
brock400_2.clq,4,18541781,4,16254926,4,16921649,4,17401575,4,16146123,4,16479845,4,18760597,4,15932966,4,17690512,4,20266150,
brock400_4.clq,4,19553238,4,16513393,4,16648978,4,23259187,4,17503949,4,15874715,4,16734994,4,18308423,4,16300292,4,17109639,
brock800_2.clq,5,67483341,6,68184572,6,68688838,5,63986180,6,67933355,6,69554613,6,67335053,6,69787900,5,64600581,6,65442839,
brock800_4.clq,6,64047277,6,70782128,6,58455408,6,68414872,5,65502584,5,68282120,5,66143243,6,64412317,6,67351101,6,65547576,
gen200_p0.9_44.clq,2,4196551,2,3775214,3,4493585,2,3580338,3,4943390,2,3617584,2,3506882,2,4574995,2,3665123,2,3709782,
gen200_p0.9_55.clq,3,3769343,2,4139106,2,4536501,2,3593975,2,3761812,3,4113802,2,3942587,2,3449462,3,3688137,3,4554604,
gen400_p0.9_55.clq,3,17903899,2,18005787,2,18595476,2,18873051,3,18094682,3,18999532,2,18383267,3,20141579,2,18399510,2,18425655,
gen400_p0.9_65.clq,3,18535350,3,18560102,2,18133986,2,18313284,3,18659150,3,18837894,3,21139841,3,18736068,3,19522309,2,18608700,
