1000 times 
000027_zebra.konet,4,2140319,4,817193,4,576357,4,443792,4,1323843,4,816110,
000034_zachary.konet,4,287452,4,164735,4,165898,4,238260,4,163422,4,203852,
000062_dolphins.konet,15,1132357,16,1188024,15,1110456,16,1726343,15,1148972,15,1583023,
000112_David_Copperfield.konet,22,6415814,22,4336331,21,4131317,22,4253041,22,4203476,22,8005164,
000198_Jazz_musicians.konet,17,24905192,17,20258049,17,19826643,17,31354752,17,19648681,16,19540158,
000212_pdzbase.konet,56,8741432,53,13410408,56,9654726,55,8635186,55,8804219,56,13638071,
001133_rovira.konet,281,961592362,276,1006426136,278,877228042,281,897790083,281,1213999192,280,973778779,
001174_euroroad.konet,494,924928280,492,605651767,494,602493287,498,614294217,497,592403163,489,577676456,
001858_hamster.konet,308,2573422937,302,2433838392,309,2517527786,306,2975863412,305,2404508943,307,2936052594,
