------------------pdzbase
------------------1
1:,154,30,1, 232351327
2:,154,30,2, 156915379
3:,154,30,3, 304774627
4:,154,30,4, 2846760400
5:,154,30,5, 18330470399
6:,150,30,6, 112209834283
7:,150,30,7, 549403084096
8:,150,30,8, 2424066280376
9:,150,30,9, 8457699214855
10:,150,30,10, 25920241532256
11:,150,30,11, 67832493491593
12:,138,30,12, 166309790051881
--------src/test/resources/KONECT/000062_dolphins.konet
--------src/test/resources/KONECT/000062_dolphins.konet
--------src/test/resources/KONECT/000062_dolphins.konet
--------src/test/resources/KONECT/000062_dolphins.konet
--------src/test/resources/KONECT/000062_dolphins.konet
--------src/test/resources/KONECT/000062_dolphins.konet
--------src/test/resources/KONECT/000062_dolphins.konet
--------src/test/resources/KONECT/000062_dolphins.konet
1:,20,5,1, 245215238219
2:,20,5,2, 16539061
3:,18,5,3, 13257587
4:,18,5,4, 11795164
5:,18,5,5, 11276181
1:,19,10,1, 6604973
2:,17,10,2, 5421348
3:,20,10,3, 6522374
4:,20,10,4, 8887172
5:,18,10,5, 12461718
6:,18,10,6, 10548163
7:,18,10,7, 10508910
8:,18,10,8, 13033956
9:,18,10,9, 9201850
10:,18,10,10, 8974140
1:,23,20,1, 3597225
2:,23,20,2, 6291081
3:,23,20,3, 16256627
4:,23,20,4, 42466694
5:,23,20,5, 91474850
6:,23,20,6, 154607447
7:,23,20,7, 298821154
8:,23,20,8, 534055768
9:,23,20,9, 664421096
10:,23,20,10, 806089103
11:,23,20,11, 890487180
12:,20,20,12, 904502438
13:,20,20,13, 901122486
14:,20,20,14, 901756476
15:,20,20,15, 906076746
16:,20,20,16, 912013336
17:,20,20,17, 906542391
18:,20,20,18, 905436607
19:,20,20,19, 904425985
20:,20,20,20, 908929077
1:,29,30,1, 1309616
2:,29,30,2, 2880232
3:,29,30,3, 22602560
4:,27,30,4, 167292779
5:,26,30,5, 1741200835
6:,26,30,6, 7758917360
7:,26,30,7, 31012858758
8:,26,30,8, 104960180342
--------src/test/resources/KONECT/000027_zebra.konet
1:,4,5,1, 20668198
2:,4,5,2, 5238316
3:,4,5,3, 4115874
4:,4,5,4, 3351280
5:,4,5,5, 3037967
1:,8,10,1, 2062125
2:,5,10,2, 1831521
3:,5,10,3, 1921630
4:,5,10,4, 2235810
5:,5,10,5, 2904218
6:,5,10,6, 2355976
7:,5,10,7, 2303090
8:,5,10,8, 2307784
9:,5,10,9, 1861299
10:,5,10,10, 1963831
1:,9,20,1, 2448138
2:,4,20,2, 3290201
3:,4,20,3, 2370006
4:,4,20,4, 2533019
5:,4,20,5, 2501919
6:,4,20,6, 2531269
7:,4,20,7, 1750474
8:,4,20,8, 2058804
9:,4,20,9, 1692630
10:,4,20,10, 1787198
11:,4,20,11, 2549330
12:,4,20,12, 2459141
13:,4,20,13, 1906394
14:,4,20,14, 1625646
15:,4,20,15, 1811621
16:,4,20,16, 2423023
17:,4,20,17, 2001739
18:,4,20,18, 2879393
19:,4,20,19, 2458037
20:,4,20,20, 2377782
1:,13,30,1, 1534403
2:,13,30,2, 2804961
3:,4,30,3, 9066091
4:,4,30,4, 7991154
5:,4,30,5, 9917228
6:,4,30,6, 6385041
7:,4,30,7, 3692843
8:,4,30,8, 3674512
9:,4,30,9, 3836497
10:,4,30,10, 2765913
11:,4,30,11, 2311178
12:,4,30,12, 3288934
13:,4,30,13, 3107002
14:,4,30,14, 3332060
15:,4,30,15, 2282605
16:,4,30,16, 2506876
17:,4,30,17, 2980601
18:,4,30,18, 2353265
19:,4,30,19, 2300963
20:,4,30,20, 2415365
21:,4,30,21, 2639159
22:,4,30,22, 2359220
23:,4,30,23, 2483595
24:,4,30,24, 2425805
