10 times 
10 times 
2 times 
000027_zebra.konet,9,1396235,
000034_zachary.konet,13,1693196,
000062_dolphins.konet,38,5112993,
000112_David_Copperfield.konet,94,40770208,
000198_Jazz_musicians.konet,179,360687622,
000212_pdzbase.konet,166,42916624,
001133_rovira.konet,991,8597230128,
001174_euroroad.konet,1051,2382184865,
001858_hamster.konet,1807,135697330689,
1 times 
000027_zebra.konet,9,1447257,
000034_zachary.konet,14,533540,
000062_dolphins.konet,41,3331178,
000112_David_Copperfield.konet,69,10582221,
000198_Jazz_musicians.konet,177,414435661,
000212_pdzbase.konet,161,40091363,
001133_rovira.konet,1026,9085001879,
001174_euroroad.konet,1098,2774203990,
001858_hamster.konet,1822,156125615602,
