1------------
frb30-15-mis/frb30-15-1.mis0:,12,2371244480:,12,58414070
frb30-15-mis/frb30-15-2.mis0:,12,1582600020:,12,43042577
frb30-15-mis/frb30-15-3.mis0:,12,1512534190:,12,33091308
frb30-15-mis/frb30-15-4.mis0:,13,1597819380:,12,37836127
frb30-15-mis/frb30-15-5.mis0:,13,1475482530:,12,28036175
frb35-17-mis/frb35-17-1.mis0:,14,2734015400:,14,48967374
frb35-17-mis/frb35-17-2.mis0:,14,2651969950:,14,54696842
frb35-17-mis/frb35-17-3.mis0:,15,3130031970:,14,47204281
frb35-17-mis/frb35-17-4.mis0:,17,3269693020:,15,48637132
frb35-17-mis/frb35-17-5.mis0:,14,2785073350:,15,48757253
frb40-19-mis/frb40-19-1.mis0:,16,4961211010:,16,74892718
frb40-19-mis/frb40-19-2.mis0:,17,5130347580:,16,74573957
frb40-19-mis/frb40-19-3.mis0:,17,5297393660:,16,80867991
frb40-19-mis/frb40-19-4.mis0:,17,5501396210:,16,76974043
frb40-19-mis/frb40-19-5.mis0:,16,5457074690:,16,75675261
frb45-21-mis/frb45-21-1.mis0:,18,8177213550:,18,124491751
frb45-21-mis/frb45-21-2.mis0:,19,8622970630:,19,111939244
frb45-21-mis/frb45-21-3.mis0:,18,8094163180:,18,110536787
frb45-21-mis/frb45-21-4.mis0:,18,8154247250:,18,112136123
frb45-21-mis/frb45-21-5.mis0:,19,8693325190:,19,111598702
frb53-24-mis/frb53-24-1.mis0:,22,16608153870:,22,193859590
frb53-24-mis/frb53-24-2.mis0:,22,16692739790:,22,192780280
frb53-24-mis/frb53-24-3.mis0:,21,16304638890:,21,193613033
frb53-24-mis/frb53-24-4.mis0:,21,16021048430:,21,193161704
frb53-24-mis/frb53-24-5.mis0:,21,16192802320:,23,192410007
frb56-25-mis/frb56-25-1.mis0:,22,20566726550:,23,225784349
frb56-25-mis/frb56-25-2.mis0:,23,20323959200:,22,222556224
frb56-25-mis/frb56-25-3.mis0:,23,20025440630:,22,224979869
frb56-25-mis/frb56-25-4.mis0:,23,20734721940:,22,222824676
frb56-25-mis/frb56-25-5.mis0:,22,19247758420:,22,220262325
frb59-26-mis/frb59-26-1.mis0:,23,23615053960:,23,274642054
frb59-26-mis/frb59-26-2.mis0:,23,23959898470:,23,262103424
frb59-26-mis/frb59-26-3.mis0:,24,25932161570:,24,265242569
frb59-26-mis/frb59-26-4.mis0:,23,24007759800:,23,266550694
frb59-26-mis/frb59-26-5.mis0:,24,24544909490:,24,260584984
