frb30-15-mis/frb30-15-1.mis-i=1
8,0:,12,10,10, 86373989436
frb30-15-mis/frb30-15-2.mis-i=1
8,0:,12,10,10, 51366125943
frb30-15-mis/frb30-15-3.mis-i=1
8,0:,12,10,10, 57829782536
frb30-15-mis/frb30-15-4.mis-i=1
8,0:,12,10,10, 55813471991
frb30-15-mis/frb30-15-5.mis-i=1
8,0:,12,10,10, 60959449308
frb35-17-mis/frb35-17-1.mis-i=1
8,0:,14,10,10, 214804604732
frb35-17-mis/frb35-17-2.mis-i=1
8,0:,14,10,10, 106635807047
frb35-17-mis/frb35-17-3.mis-i=1
8,0:,14,10,10, 103038510217
frb35-17-mis/frb35-17-4.mis-i=1
8,0:,15,10,10, 140604805643
frb35-17-mis/frb35-17-5.mis-i=1
8,0:,14,10,10, 89997584087
frb40-19-mis/frb40-19-1.mis-i=1
8,0:,15,10,10, 125300058285
frb40-19-mis/frb40-19-2.mis-i=1
8,0:,16,10,10, 128641732396
frb40-19-mis/frb40-19-3.mis-i=1
8,0:,16,10,10, 115086891666
frb40-19-mis/frb40-19-4.mis-i=1
8,0:,16,10,10, 107796817960
frb40-19-mis/frb40-19-5.mis-i=1
8,0:,16,10,10, 132585755693
frb45-21-mis/frb45-21-1.mis-i=1
8,0:,18,10,10, 416341563083
frb45-21-mis/frb45-21-2.mis-i=1
frb45-21-mis/frb45-21-2.mis-i=1
8,0:,18,10,10, 215837409928
frb45-21-mis/frb45-21-3.mis-i=1
8,0:,18,10,10, 120068870481
frb45-21-mis/frb45-21-4.mis-i=1
8,0:,18,10,10, 607301087039
frb45-21-mis/frb45-21-5.mis-i=1
8,0:,19,10,10, 145798651851
frb53-24-mis/frb53-24-1.mis-i=1
6,0:,21,10,10, 552420514519
frb53-24-mis/frb53-24-2.mis-i=1
8,0:,22,10,10, 395857635744
frb53-24-mis/frb53-24-3.mis-i=1
8,0:,21,10,10, 378871470129
frb53-24-mis/frb53-24-4.mis-i=1
8,0:,21,10,10, 291731994483
frb53-24-mis/frb53-24-5.mis-i=1
8,0:,21,10,10, 368342895587
frb56-25-mis/frb56-25-1.mis-i=1
8,0:,22,10,10, 407541149355
frb56-25-mis/frb56-25-2.mis-i=1
8,0:,22,10,10, 470143952093
frb56-25-mis/frb56-25-3.mis-i=1
8,0:,22,10,10, 3048890703177
frb56-25-mis/frb56-25-4.mis-i=1
8,0:,22,10,10, 1050161579173
frb56-25-mis/frb56-25-5.mis-i=1
8,0:,22,10,10, 642232250456
frb59-26-mis/frb59-26-1.mis-i=1
8,0:,23,10,10, 618679157716
frb59-26-mis/frb59-26-2.mis-i=1
8,0:,23,10,10, 288082471342
frb59-26-mis/frb59-26-3.mis-i=1
8,0:,24,10,10, 580904317941
frb59-26-mis/frb59-26-4.mis-i=1
8,0:,23,10,10, 280068526939
frb59-26-mis/frb59-26-5.mis-i=1
8,0:,24,10,10, 293073179843
