1--------000027_zebra.konet
4,5,1,5227463,11,5,1,28695311,8,5,1,2929288,
4,5,2,3874033,6,5,2,7782339,5,5,2,2505660,
4,5,3,3112458,6,5,3,7588681,5,5,3,3071498,
4,5,4,2446479,6,5,4,4382661,5,5,4,1859378,
4,5,5,3717490,6,5,5,4516608,5,5,5,1448332,
8,10,1,2512881,11,10,1,2524529,8,10,1,834624,
5,10,2,2534167,11,10,2,2298500,5,10,2,1000209,
5,10,3,2521513,4,10,3,3531521,5,10,3,1494905,
5,10,4,1688883,4,10,4,3082263,5,10,4,1651432,
5,10,5,1446874,4,10,5,3303368,5,10,5,1596050,
5,10,6,1445989,4,10,6,2909624,5,10,6,1526621,
5,10,7,2002722,4,10,7,2523732,5,10,7,940498,
5,10,8,2095319,4,10,8,2909723,5,10,8,1013130,
5,10,9,1874926,4,10,9,1808102,5,10,9,975136,
5,10,10,1751050,4,10,10,2697774,5,10,10,971780,
9,20,1,1158877,13,20,1,1719886,21,20,1,725465,
4,20,2,1347449,13,20,2,3567974,21,20,2,1580876,
4,20,3,1856761,4,20,3,5035016,5,20,3,4055477,
4,20,4,1760749,4,20,4,5538452,5,20,4,4840901,
4,20,5,1346895,4,20,5,4639738,5,20,5,5448500,
4,20,6,1261036,4,20,6,5344453,5,20,6,6129446,
4,20,7,1602855,4,20,7,4291895,5,20,7,4338996,
4,20,8,3308268,4,20,8,5735016,5,20,8,3948292,
4,20,9,1956672,4,20,9,4392241,5,20,9,3932612,
4,20,10,1240864,4,20,10,6026929,5,20,10,3643658,
4,20,11,1271293,4,20,11,4147507,5,20,11,4004498,
4,20,12,1792909,4,20,12,6861651,5,20,12,3815698,
4,20,13,1385273,4,20,13,4405515,5,20,13,5640616,
4,20,14,1320267,4,20,14,3550143,5,20,14,4905751,
4,20,15,1238349,4,20,15,4158776,5,20,15,4157281,
4,20,16,1200699,4,20,16,3735911,5,20,16,3699649,
4,20,17,1277481,4,20,17,3339364,5,20,17,3601930,
4,20,18,1358995,4,20,18,3563670,5,20,18,3466643,
4,20,19,1379435,4,20,19,4702483,5,20,19,3812887,
4,20,20,1582799,4,20,20,3740012,5,20,20,3766549,
4,20,16,1200699,4,10,9,1808102,5,10,7,940498,
4,20,16,1200699
1--------000034_zachary.konet
11,5,1,2370853,4,5,1,1302694,7,5,1,1194535,
4,5,2,2689101,4,5,2,1305942,7,5,2,1297554,
4,5,3,6365578,4,5,3,860997,7,5,3,1092234,
4,5,4,2344708,4,5,4,840276,7,5,4,1398967,
4,5,5,1809314,4,5,5,1009630,7,5,5,972768,
11,10,1,1359659,4,10,1,973384,7,10,1,731501,
11,10,2,3064386,4,10,2,796937,7,10,2,731094,
4,10,3,4352715,4,10,3,619057,7,10,3,660164,
4,10,4,2804481,4,10,4,795900,7,10,4,1009105,
4,10,5,3520176,4,10,5,684053,7,10,5,773160,
4,10,6,2511724,4,10,6,826401,7,10,6,899129,
4,10,7,2443630,4,10,7,706482,7,10,7,668007,
4,10,8,1473612,4,10,8,699240,7,10,8,666679,
4,10,9,1475080,4,10,9,620248,7,10,9,704412,
4,10,10,1637848,4,10,10,1013108,7,10,10,662106,
17,20,1,997131,12,20,1,806986,10,20,1,565000,
17,20,2,2107829,4,20,2,953121,4,20,2,456954,
4,20,3,5403037,4,20,3,870240,4,20,3,450404,
4,20,4,5888072,4,20,4,666923,4,20,4,449782,
4,20,5,7347037,4,20,5,557507,4,20,5,580604,
4,20,6,4436711,4,20,6,545084,4,20,6,455055,
4,20,7,4444285,4,20,7,581018,4,20,7,447477,
4,20,8,6754578,4,20,8,569496,4,20,8,446398,
4,20,9,3700285,4,20,9,543099,4,20,9,1103691,
4,20,10,3889885,4,20,10,545714,4,20,10,1036049,
4,20,11,4263669,4,20,11,585182,4,20,11,835037,
4,20,12,5882818,4,20,12,577469,4,20,12,809651,
