1000 times 
frb30-15-mis/frb30-15-1.mis,17,3224052,16,5281239,
frb30-15-mis/frb30-15-2.mis,16,2813461,16,2890141,
frb30-15-mis/frb30-15-3.mis,16,2924410,16,2837799,
frb30-15-mis/frb30-15-4.mis,17,3468320,16,3220841,
frb30-15-mis/frb30-15-5.mis,16,4314493,16,2880770,
frb35-17-mis/frb35-17-1.mis,20,9772763,20,6594368,
frb35-17-mis/frb35-17-2.mis,20,4920007,19,6042961,
frb35-17-mis/frb35-17-3.mis,19,4935441,20,5148686,
frb35-17-mis/frb35-17-4.mis,20,5300809,19,6738688,
frb35-17-mis/frb35-17-5.mis,19,9678893,19,13773165,
frb40-19-mis/frb40-19-1.mis,22,13736040,22,11272009,
frb40-19-mis/frb40-19-2.mis,23,11653470,22,9816770,
frb40-19-mis/frb40-19-3.mis,22,11909137,22,8241448,
frb40-19-mis/frb40-19-4.mis,22,11800129,22,10271603,
frb40-19-mis/frb40-19-5.mis,21,8283760,22,9410945,
frb45-21-mis/frb45-21-1.mis,26,14575224,25,25294964,
frb45-21-mis/frb45-21-2.mis,25,15337723,25,13842139,
frb45-21-mis/frb45-21-3.mis,25,21873980,25,12542993,
frb45-21-mis/frb45-21-4.mis,25,22049416,25,17400914,
frb45-21-mis/frb45-21-5.mis,25,20550300,24,17671112,
frb53-24-mis/frb53-24-1.mis,30,24492113,31,27806120,
frb53-24-mis/frb53-24-2.mis,31,25483121,30,22803206,
frb53-24-mis/frb53-24-3.mis,30,28430431,29,28604595,
frb53-24-mis/frb53-24-4.mis,29,38729023,30,35399187,
frb53-24-mis/frb53-24-5.mis,30,41617993,30,34744380,
frb56-25-mis/frb56-25-1.mis,31,42014773,31,30249445,
frb56-25-mis/frb56-25-2.mis,33,25878586,31,28999904,
frb56-25-mis/frb56-25-3.mis,32,26953805,32,29160760,
frb56-25-mis/frb56-25-4.mis,31,23152656,31,30987480,
frb56-25-mis/frb56-25-5.mis,33,40712908,32,34884544,
frb59-26-mis/frb59-26-1.mis,35,28933913,34,30352472,
frb59-26-mis/frb59-26-2.mis,34,47443168,32,36649107,
frb59-26-mis/frb59-26-3.mis,33,25822638,33,31313450,
frb59-26-mis/frb59-26-4.mis,35,35756375,33,27399378,
frb59-26-mis/frb59-26-5.mis,34,25809457,34,39518291,
