------------------brock200_2
------------------3
1:9,5,1, 463403096
2:9,5,2, 242483898
3:9,5,3, 236006750
4:9,5,4, 233670309
5:9,5,5, 267471832
1:8,10,1, 209219731
2:8,10,2, 197158343
3:8,10,3, 204107345
4:8,10,4, 191966388
5:8,10,5, 222944705
6:8,10,6, 249949793
7:8,10,7, 222422129
8:8,10,8, 196063735
9:8,10,9, 192680247
10:8,10,10, 189313500
1:21,20,1, 37750902
2:7,20,2, 206982816
3:7,20,3, 197738916
4:7,20,4, 199268761
5:7,20,5, 200907126
6:7,20,6, 201253244
7:7,20,7, 253469749
8:7,20,8, 274369401
9:7,20,9, 251035565
10:7,20,10, 248692861
11:7,20,11, 230717054
12:7,20,12, 201606697
13:7,20,13, 201917007
14:7,20,14, 210562242
15:7,20,15, 207133627
16:7,20,16, 198645890
17:7,20,17, 198506479
18:7,20,18, 205535709
19:7,20,19, 195406153
20:7,20,20, 199826664
------------------4
1:9,5,1, 220608493
2:9,5,2, 218420837
3:9,5,3, 224451543
4:9,5,4, 221891260
5:9,5,5, 221738193
1:8,10,1, 191429881
2:8,10,2, 190939689
3:8,10,3, 187916209
4:8,10,4, 188835325
5:8,10,5, 190925932
6:8,10,6, 190420325
7:8,10,7, 190081323
8:8,10,8, 188667931
9:8,10,9, 229322983
10:8,10,10, 207402377
1:21,20,1, 37026692
2:7,20,2, 202162439
3:7,20,3, 205732894
4:7,20,4, 206870093
5:7,20,5, 200909111
6:7,20,6, 199668148
7:7,20,7, 202110641
8:7,20,8, 196844727
9:7,20,9, 203413021
10:7,20,10, 196290154
11:7,20,11, 197214115
12:7,20,12, 196392944
13:7,20,13, 206547930
14:7,20,14, 198073399
15:7,20,15, 198770921
16:7,20,16, 221400054
17:7,20,17, 202735559
18:7,20,18, 198140470
19:7,20,19, 198844516
20:7,20,20, 198795644
------------------5
1:9,5,1, 224799631
2:9,5,2, 221324620
3:9,5,3, 225592704
4:9,5,4, 222736188
5:9,5,5, 222304385
1:8,10,1, 192515865
2:8,10,2, 190103805
3:8,10,3, 194294174
4:8,10,4, 186041893
5:8,10,5, 188689159
6:8,10,6, 190030952
7:8,10,7, 190436238
8:8,10,8, 191028297
9:8,10,9, 190406023
10:8,10,10, 197665122
1:21,20,1, 37043846
2:7,20,2, 198303212
3:7,20,3, 199164691
4:7,20,4, 210728225
5:7,20,5, 197860181
6:7,20,6, 208667277
7:7,20,7, 204506790
8:7,20,8, 201791452
9:7,20,9, 197650756
10:7,20,10, 198291241
11:7,20,11, 202636447
12:7,20,12, 196418565
13:7,20,13, 202766914
14:7,20,14, 200685430
15:7,20,15, 203795357
16:7,20,16, 197677096
17:7,20,17, 195235840
18:7,20,18, 195690256
19:7,20,19, 195250522
20:7,20,20, 195407504
------------------6
1:9,5,1, 230929952
2:9,5,2, 221772735
3:9,5,3, 219533363
4:9,5,4, 220398701
5:9,5,5, 222167991
1:8,10,1, 190607971
2:8,10,2, 188394555
3:8,10,3, 188944540
4:8,10,4, 191480565
5:8,10,5, 195553477
6:8,10,6, 188737671
7:8,10,7, 192837319
8:8,10,8, 191204177
9:8,10,9, 191939562
10:8,10,10, 193590090
1:21,20,1, 37163089
2:7,20,2, 199700605
3:7,20,3, 202055380
4:7,20,4, 195831982
5:7,20,5, 199941930
6:7,20,6, 200516499
7:7,20,7, 198863891
8:7,20,8, 197531012
9:7,20,9, 203634932
10:7,20,10, 198349441
11:7,20,11, 199622730
12:7,20,12, 204385325
13:7,20,13, 198624301
14:7,20,14, 207704820
15:7,20,15, 199614966
16:7,20,16, 195935388
17:7,20,17, 195632762
18:7,20,18, 195409744
19:7,20,19, 197036948
20:7,20,20, 196036128
------------------7
1:9,5,1, 217851960
2:9,5,2, 217217475
3:9,5,3, 223247300
4:9,5,4, 217083109
5:9,5,5, 219030325
1:8,10,1, 189304636
2:8,10,2, 187186168
3:8,10,3, 186441727
4:8,10,4, 187745690
5:8,10,5, 190125420
6:8,10,6, 187708729
7:8,10,7, 189053457
8:8,10,8, 191093855
9:8,10,9, 195885476
10:8,10,10, 189710663
1:21,20,1, 35809816
2:7,20,2, 198656429
3:7,20,3, 200505223
4:7,20,4, 211191048
5:7,20,5, 197990607
6:7,20,6, 200381537
7:7,20,7, 199401042
8:7,20,8, 199420184
9:7,20,9, 212785651
10:7,20,10, 204004273
11:7,20,11, 196674274
12:7,20,12, 195470640
13:7,20,13, 203165179
14:7,20,14, 202330384
15:7,20,15, 198095133
16:7,20,16, 199857990
17:7,20,17, 198623805
18:7,20,18, 194992752
19:7,20,19, 196785547
20:7,20,20, 198167327
------------------8
1:9,5,1, 224908675
2:9,5,2, 224696210
3:9,5,3, 218009613
4:9,5,4, 226604514
5:9,5,5, 226057825
1:8,10,1, 200896535
2:8,10,2, 186993918
3:8,10,3, 195799990
4:8,10,4, 189230830
5:8,10,5, 194839824
6:8,10,6, 186611657
7:8,10,7, 195011944
8:8,10,8, 186192291
9:8,10,9, 189884086
10:8,10,10, 188300362
1:21,20,1, 35746836
2:7,20,2, 199530703
3:7,20,3, 195463050
4:7,20,4, 207243688
5:7,20,5, 206339771
6:7,20,6, 198615034
7:7,20,7, 199280171
8:7,20,8, 195762717
9:7,20,9, 211058943
10:7,20,10, 196661642
11:7,20,11, 194531362
12:7,20,12, 195843716
13:7,20,13, 199989289
