1:,3,5,1, 4869395999
2:,3,5,2, 4877494445
3:,3,5,3, 4040786626
4:,3,5,4, 3876978781
1:,3,5,1, 4849177014
2:,3,5,2, 3818162393
3:,3,5,3, 3948620694
4:,3,5,4, 3981531553
5:,3,5,5, 4109408971
1:,3,10,1, 3546678972
2:,3,10,2, 3446175291
3:,3,10,3, 3490543840
4:,3,10,4, 3439259122
5:,3,10,5, 3475627881
6:,3,10,6, 3377515826
7:,3,10,7, 3403248346
8:,3,10,8, 3522957227
9:,3,10,9, 3370083268
10:,3,10,10, 3365434692
1:,3,20,1, 3449028136
2:,3,20,2, 3396176237
3:,3,20,3, 3524944496
4:,3,20,4, 3342777592
5:,3,20,5, 3484760286
6:,3,20,6, 3413547275
7:,3,20,7, 3538984579
8:,3,20,8, 3420220850
9:,3,20,9, 3440336411
10:,3,20,10, 3496864747
11:,3,20,11, 3462306472
12:,3,20,12, 3336186838
13:,3,20,13, 3362699848
14:,3,20,14, 3347772868
15:,3,20,15, 3432935418
16:,3,20,16, 3346464192
17:,3,20,17, 3429691059
18:,3,20,18, 3301693697
19:,3,20,19, 3396526068
20:,3,20,20, 3388272556
1:,2,5,1, 15117080
2:,2,5,2, 14530740
3:,2,5,3, 14559372
4:,2,5,4, 16831114
5:,2,5,5, 15091060
1:,2,10,1, 18682417
2:,2,10,2, 18431098
3:,2,10,3, 18717882
4:,2,10,4, 19141678
5:,2,10,5, 18626435
6:,2,10,6, 17769866
7:,2,10,7, 19921048
8:,2,10,8, 19201399
9:,2,10,9, 17719999
10:,2,10,10, 17671456
1:,2,20,1, 19603242
2:,2,20,2, 19955457
3:,2,20,3, 17368403
4:,2,20,4, 18356204
5:,2,20,5, 17974612
6:,2,20,6, 18614133
7:,2,20,7, 18235203
8:,2,20,8, 18235377
9:,2,20,9, 18047766
10:,2,20,10, 17677400
11:,2,20,11, 17987762
12:,2,20,12, 17704041
13:,2,20,13, 17534020
14:,2,20,14, 18144450
15:,2,20,15, 17724672
16:,2,20,16, 19144063
17:,2,20,17, 17377841
18:,2,20,18, 17631948
19:,2,20,19, 23521904
20:,2,20,20, 24435313
1:,10,5,1, 303523705567
2:,10,5,2, 303124040599
3:,10,5,3, 308027688734
4:,10,5,4, 303116006077
5:,10,5,5, 307350308604
1:,10,10,1, 82867365679
2:,10,10,2, 77823869618
3:,10,10,3, 80869495536
4:,10,10,4, 76871672428
5:,10,10,5, 79626302396
6:,10,10,6, 79061502802
7:,10,10,7, 77790989626
8:,10,10,8, 82298296313
9:,10,10,9, 78127298214
10:,10,10,10, 77309965734
1:,21,20,1, 7993072509
2:,12,20,2, 77132921158
3:,12,20,3, 69941568845
4:,12,20,4, 71258670980
5:,12,20,5, 74570098447
6:,12,20,6, 71910670496
7:,12,20,7, 72694097780
8:,12,20,8, 74149091954
9:,12,20,9, 71874715739
10:,12,20,10, 71924773534
11:,12,20,11, 73376013411
12:,12,20,12, 69520946974
13:,12,20,13, 69150278011
14:,12,20,14, 70210668125
15:,12,20,15, 69339147056
16:,12,20,16, 69158484128
17:,12,20,17, 71178053541
18:,12,20,18, 68094301377
19:,12,20,19, 69219313315
20:,12,20,20, 71700724842
1:,4,5,1, 28243070477
2:,4,5,2, 28737454075
3:,4,5,3, 32012551907
4:,4,5,4, 28598120787
5:,4,5,5, 31831780714
1:,4,10,1, 24227174659
2:,4,10,2, 23963447052
3:,4,10,3, 26480360537
4:,4,10,4, 23713240001
5:,4,10,5, 23838811358
6:,4,10,6, 26320837142
7:,4,10,7, 24405110174
8:,4,10,8, 24521418699
9:,4,10,9, 27145971301
10:,4,10,10, 23874054949
1:,4,20,1, 25564776535
2:,4,20,2, 22420518757
3:,4,20,3, 21908073908
4:,4,20,4, 24452693507
5:,4,20,5, 22532856959
6:,4,20,6, 21855387989
7:,4,20,7, 24848326266
8:,4,20,8, 22586682219
9:,4,20,9, 22202431316
10:,4,20,10, 24711784816
11:,4,20,11, 22519794568
12:,4,20,12, 21721148871
13:,4,20,13, 24713221881
14:,4,20,14, 22368601866
15:,4,20,15, 22066667405
16:,4,20,16, 25068740525
17:,4,20,17, 22553729914
18:,4,20,18, 22036254240
19:,4,20,19, 24904131726
20:,4,20,20, 22044717957
1:,2,5,1, 70600175
2:,2,5,2, 70471221
3:,2,5,3, 70764127
4:,2,5,4, 70029958
5:,2,5,5, 70368172
1:,2,10,1, 79926514
2:,2,10,2, 80054876
3:,2,10,3, 81675871
4:,2,10,4, 80664174
5:,2,10,5, 79152423
6:,2,10,6, 78816246
7:,2,10,7, 79647091
8:,2,10,8, 79430607
9:,2,10,9, 93157583
10:,2,10,10, 79424336
1:,2,20,1, 133516930
2:,2,20,2, 134201121
3:,2,20,3, 135069485
4:,2,20,4, 136431766
5:,2,20,5, 162450558
6:,2,20,6, 131965798
7:,2,20,7, 133561963
8:,2,20,8, 134004879
9:,2,20,9, 134519040
10:,2,20,10, 133198093
11:,2,20,11, 132103624
12:,2,20,12, 133315767
13:,2,20,13, 134128386
14:,2,20,14, 132888832
15:,2,20,15, 143025661
16:,2,20,16, 138835352
17:,2,20,17, 169459280
18:,2,20,18, 131504409
19:,2,20,19, 133370501
20:,2,20,20, 134562434
1:,11,5,1, 587545718138
2:,11,5,2, 554539934350
3:,11,5,3, 552594910609
4:,11,5,4, 560188333206
5:,11,5,5, 554061471019
1:,12,10,1, 804861945061
2:,12,10,2, 813485637598
3:,12,10,3, 841413761744
4:,12,10,4, 804073639075
5:,12,10,5, 857094046282
6:,12,10,6, 851610110393
7:,12,10,7, 802613241403
8:,12,10,8, 794442589164
9:,12,10,9, 803898669720
10:,12,10,10, 789281640638
1:,21,20,1, 59442187444
2:,11,20,2, 323723216565
3:,11,20,3, 309828078104
4:,11,20,4, 313040934125
5:,11,20,5, 333961893408
6:,11,20,6, 329449729492
7:,11,20,7, 357241398945
8:,11,20,8, 333152638824
9:,11,20,9, 323850461349
10:,11,20,10, 330835275858
11:,11,20,11, 330988747309
12:,11,20,12, 336801412962
13:,11,20,13, 329702800077
14:,11,20,14, 304522289172
15:,11,20,15, 328805189388
16:,11,20,16, 339743624472
17:,11,20,17, 327271518051
18:,11,20,18, 337740082298
19:,11,20,19, 321036494740
20:,11,20,20, 321698248673
1:,3,5,1, 670447133
2:,3,5,2, 626282684
3:,3,5,3, 616058388
4:,3,5,4, 684622124
5:,3,5,5, 622272585
1:,2,10,1, 396976247
2:,2,10,2, 353828106
3:,2,10,3, 360391463
4:,2,10,4, 354138193
5:,2,10,5, 419017917
6:,2,10,6, 353941268
7:,2,10,7, 352621936
8:,2,10,8, 357533882
9:,2,10,9, 383930295
10:,2,10,10, 352320066
1:,2,20,1, 417230892
2:,2,20,2, 446147234
3:,2,20,3, 413668574
4:,2,20,4, 409174632
5:,2,20,5, 414610447
6:,2,20,6, 455243832
7:,2,20,7, 415278252
8:,2,20,8, 409356850
9:,2,20,9, 459816787
10:,2,20,10, 406204162
11:,2,20,11, 414148040
12:,2,20,12, 408658572
13:,2,20,13, 454310180
14:,2,20,14, 405290867
15:,2,20,15, 410358102
16:,2,20,16, 462920078
17:,2,20,17, 412340386
18:,2,20,18, 407693782
19:,2,20,19, 415219835
20:,2,20,20, 474777795
1:,10,5,1, 15230517370
2:,10,5,2, 15393941379
3:,10,5,3, 15217573852
4:,10,5,4, 15121961147
5:,10,5,5, 15185526033
1:,12,10,1, 4435164712
2:,9,10,2, 8337008912
3:,9,10,3, 8403611829
4:,9,10,4, 8143338210
5:,9,10,5, 7991572888
6:,9,10,6, 8177620613
7:,9,10,7, 8093694712
8:,9,10,8, 8259035635
9:,9,10,9, 8338079635
10:,9,10,10, 8180732258
1:,21,20,1, 1551979919
2:,9,20,2, 7797732705
3:,9,20,3, 7948655488
4:,9,20,4, 8099941640
5:,9,20,5, 8038142769
6:,9,20,6, 7910147924
7:,9,20,7, 7918164140
8:,9,20,8, 7800875050
9:,9,20,9, 7709668257
10:,9,20,10, 7790620639
11:,9,20,11, 7765233741
12:,9,20,12, 7718010193
13:,9,20,13, 7842159485
14:,9,20,14, 7870597375
15:,9,20,15, 7682315142
16:,9,20,16, 7856720184
17:,9,20,17, 8093611688
18:,9,20,18, 8127702326
19:,9,20,19, 7899656520
20:,9,20,20, 8031672682
1:,10,5,1, 3575609233
2:,10,5,2, 3591847362
3:,10,5,3, 3559607478
4:,10,5,4, 3530968479
5:,10,5,5, 3649381153
1:,11,10,1, 299502984
2:,9,10,2, 2612215283
3:,9,10,3, 2477268801
4:,9,10,4, 2519800781
5:,9,10,5, 2544253683
6:,9,10,6, 2519290998
7:,9,10,7, 2528346812
8:,9,10,8, 2483862213
9:,9,10,9, 2562237854
10:,9,10,10, 2536776213
1:,21,20,1, 305167446
2:,8,20,2, 1556604772
3:,8,20,3, 1531565754
4:,8,20,4, 1557405385
5:,8,20,5, 1538884214
6:,8,20,6, 1545257610
7:,8,20,7, 1555148041
8:,8,20,8, 1535440273
9:,8,20,9, 1557428257
10:,8,20,10, 1536292228
11:,8,20,11, 1552303397
