------------------C125
------------------1
1:2,1,1, 84219396
1:2,2,1, 39875055
2:2,2,2, 36401392
1:2,3,1, 35876011
2:2,3,2, 29524931
3:2,3,3, 27309414
1:2,4,1, 29038127
2:2,4,2, 22064060
3:2,4,3, 18680617
4:2,4,4, 16015590
1:2,5,1, 94891850
2:2,5,2, 41606950
3:2,5,3, 40122743
4:2,5,4, 30136670
5:2,5,5, 29357122
1:2,10,1, 31432070
2:2,10,2, 35011644
3:2,10,3, 22488098
4:2,10,4, 22346120
5:2,10,5, 21927829
6:2,10,6, 21378466
7:2,10,7, 29513257
8:2,10,8, 20043550
9:2,10,9, 23128316
10:2,10,10, 21359003
------------------C250
------------------1
1:3,1,1, 347857648
1:3,2,1, 140667530
2:3,2,2, 149522741
1:2,3,1, 72539195
2:2,3,2, 95088929
3:2,3,3, 107154377
1:2,4,1, 72858235
2:2,4,2, 71525443
3:2,4,3, 71012698
4:2,4,4, 72248810
1:2,5,1, 75628545
2:2,5,2, 78406963
3:2,5,3, 76740779
4:2,5,4, 77015363
5:2,5,5, 87286232
1:2,10,1, 114243300
2:2,10,2, 116853651
3:2,10,3, 120513168
4:2,10,4, 85470691
5:2,10,5, 85377813
6:2,10,6, 88703233
7:2,10,7, 88398424
8:2,10,8, 87609338
9:2,10,9, 83068896
10:2,10,10, 82315844
------------------C500
------------------1
1:3,1,1, 627706774
1:3,2,1, 680569582
2:3,2,2, 787143087
1:3,3,1, 589214384
2:3,3,2, 587882671
3:3,3,3, 653427404
1:3,4,1, 678242528
2:3,4,2, 679209979
3:3,4,3, 786631140
4:3,4,4, 867748873
1:3,5,1, 823013179
2:3,5,2, 650687583
3:3,5,3, 678925118
4:3,5,4, 663667672
5:3,5,5, 667533029
1:2,10,1, 383960243
2:2,10,2, 477200268
3:2,10,3, 413224839
4:2,10,4, 411665303
5:2,10,5, 390185609
6:2,10,6, 391713068
7:2,10,7, 386213621
8:2,10,8, 391091092
9:2,10,9, 376628156
10:2,10,10, 388110828
------------------C1000
------------------1
1:3,1,1, 4361326624
1:4,2,1, 4791833854
2:4,2,2, 4770214300
1:4,3,1, 4706307419
2:4,3,2, 4755167925
3:4,3,3, 4701802986
1:4,4,1, 4651108145
2:4,4,2, 4611267533
3:4,4,3, 4617902454
4:4,4,4, 4611834664
1:3,5,1, 4093201762
2:3,5,2, 3809138367
3:3,5,3, 3971679549
4:3,5,4, 4091316120
5:3,5,5, 3991234530
1:3,10,1, 3661088558
2:3,10,2, 3696130030
3:3,10,3, 3593755884
4:3,10,4, 3568889580
5:3,10,5, 3599209023
6:3,10,6, 3548036969
7:3,10,7, 3686508246
8:3,10,8, 3604313069
9:3,10,9, 3481108744
10:3,10,10, 3497186176
------------------C2000-5
------------------1
------------------C2000-5
------------------1
------------------C2000-5
------------------1
------------------C2000-9
------------------1
1:4,5,1, 35033457742
2:4,5,2, 32277034186
3:4,5,3, 33248263772
4:4,5,4, 32249142501
5:4,5,5, 33591265725
1:4,10,1, 27780598085
2:4,10,2, 24996546445
3:4,10,3, 27911357597
4:4,10,4, 24962356374
5:4,10,5, 26873614025
6:4,10,6, 25093237604
7:4,10,7, 28257174014
8:4,10,8, 24512912132
9:4,10,9, 28252930078
10:4,10,10, 25002597493
1:4,20,1, 25626510827
2:4,20,2, 22788009957
3:4,20,3, 23455635857
4:4,20,4, 25873186465
5:4,20,5, 22692872622
6:4,20,6, 26296571868
7:4,20,7, 23233472180
8:4,20,8, 26317649824
9:4,20,9, 23393090913
10:4,20,10, 22744922006
11:4,20,11, 25767162232
12:4,20,12, 23471631467
13:4,20,13, 23910156482
14:4,20,14, 32498685268
15:4,20,15, 23404585317
16:4,20,16, 26187734101
17:4,20,17, 23749760356
18:4,20,18, 23245183473
19:4,20,19, 27147548881
20:4,20,20, 22538934591
------------------C2000-5
------------------1
1:,10,10,1, 82731937578
2:,10,10,2, 79578720708
3:,10,10,3, 78919854484
4:,10,10,4, 79957659159
5:,10,10,5, 76236115866
6:,10,10,6, 78473952808
7:,10,10,7, 77636091287
8:,10,10,8, 78906358048
9:,10,10,9, 78883458411
10:,10,10,10, 79390099644
1:,21,20,1, 8182214367
2:,12,20,2, 70976421254
3:,12,20,3, 73441077435
4:,12,20,4, 71522063436
5:,12,20,5, 70696863685
6:,12,20,6, 75588791082
7:,12,20,7, 70847247113
8:,12,20,8, 71023192653
9:,12,20,9, 71751514819
10:,12,20,10, 71259597201
11:,12,20,11, 70608398545
12:,12,20,12, 72091406406
13:,12,20,13, 71499674840
14:,12,20,14, 70865366706
15:,12,20,15, 73626105184
16:,12,20,16, 72357232924
17:,12,20,17, 70799564499
18:,12,20,18, 72913789139
19:,12,20,19, 70000973024
20:,12,20,20, 71276059176
------------------C4000
------------------1
------------------C4000
------------------1
------------------C125
------------------2
1:,2,1,1, 81884171
1:,2,2,1, 38827617
2:,2,2,2, 36403680
1:,2,3,1, 35635634
2:,2,3,2, 29741228
3:,2,3,3, 26377650
1:,2,4,1, 30138705
2:,2,4,2, 22456011
3:,2,4,3, 17855663
